f1m1, 1690, 2337, 3542, 3707, 4481, 217, 90, 88, red
f1m2, 1690, 2337, 3542, 3707, 4481, 217, 85, 94, blue
f1m3, 1690, 2337, 3542, 3707, 4481, 217, 84, 98, blue
qf1m1, 1676, 5951, 2791, 2771, 51, 245, 109, 89, red
qf1m2, 1676, 5951, 2791, 2771, 51, 245, 102, 76, red
qf2m1, 1690, 2337, 3542, 868, 16, 1923, 91, 75, red
qf2m2, 1690, 2337, 3542, 868, 16, 1923, 109, 94, red
qf3m1, 3707, 4481, 217, 103, 449, 88, 100, 65, red
qf3m2, 3707, 4481, 217, 103, 3555, 88, 61, 73, blue
qf3m3, 3707, 4481, 217, 103, 3555, 88, 113, 68, red
qf4m1, 225, 503, 125, 1918, 3604, 836, 111, 95, red
qf4m2, 225, 503, 125, 5567, 3604, 1918, 101, 86, red
qm1, 3381, 7651, 4381, 3044, 868, 51, 58, 89, blue
qm10, 88, 5084, 191, 175, 1676, 3667, 81, 82, blue
qm100, 1676, 503, 125, 217, 365, 7673, 83, 66, red
qm101, 6806, 1923, 868, 5943, 1024, 3555, 72, 63, red
qm102, 771, 772, 1690, 5567, 1918, 7480, 76, 76, 
qm103, 836, 4143, 245, 4253, 175, 250, 110, 73, red
qm104, 5811, 5501, 3707, 4381, 3618, 16, 86, 69, red
qm105, 2337, 88, 3146, 3604, 2771, 353, 84, 90, blue
qm106, 3044, 3542, 1923, 503, 1781, 2830, 107, 78, red
qm107, 449, 7673, 1792, 3555, 236, 7480, 71, 100, blue
qm108, 5348, 5084, 6806, 7462, 191, 125, 68, 77, blue
qm109, 1918, 3667, 7651, 1058, 1024, 7885, 74, 65, red
qm11, 772, 353, 1024, 2265, 4143, 7673, 58, 55, red
qm110, 1218, 6401, 2265, 2502, 771, 4481, 74, 64, red
qm111, 51, 2791, 103, 3624, 365, 5567, 100, 90, red
qm112, 868, 3381, 3926, 1690, 2500, 217, 44, 113, blue
qm113, 190, 7719, 1317, 225, 5951, 772, 66, 99, blue
qm114, 5943, 125, 250, 1676, 1918, 2830, 57, 71, blue
qm12, 1781, 250, 2771, 16, 6401, 868, 55, 61, blue
qm13, 2830, 1317, 836, 7651, 5348, 5501, 74, 69, red
qm14, 4253, 225, 51, 503, 6806, 449, 83, 74, red
qm15, 3604, 1218, 7462, 7480, 3667, 3044, 68, 86, blue
qm16, 3618, 1058, 771, 1676, 3624, 2502, 56, 87, blue
qm17, 7885, 3542, 1690, 2265, 175, 125, 96, 76, red
qm18, 245, 3381, 1923, 5811, 772, 88, 82, 78, red
qm19, 190, 217, 5951, 2791, 3146, 1918, 83, 80, red
qm2, 1792, 3604, 5951, 6401, 1690, 245, 87, 85, red
qm20, 4481, 7673, 5943, 103, 4143, 7719, 59, 72, blue
qm21, 191, 353, 365, 2500, 16, 1792, 71, 64, red
qm22, 3926, 3707, 5567, 1781, 3555, 2337, 98, 86, red
qm23, 4381, 236, 2771, 5084, 2502, 1024, 92, 90, red
qm24, 1218, 245, 1918, 125, 2791, 7651, 89, 74, red
qm25, 2830, 225, 7885, 250, 3618, 3146, 64, 57, red
qm26, 217, 3667, 4253, 365, 7719, 1792, 98, 45, red
qm27, 3624, 7480, 7673, 5951, 868, 3542, 54, 65, blue
qm28, 772, 5348, 2337, 51, 3555, 6401, 57, 84, blue
qm29, 191, 4381, 5943, 1690, 190, 1781, 62, 78, blue
qm3, 125, 2500, 3555, 3618, 5501, 503, 80, 72, red
qm30, 836, 2265, 1058, 1923, 449, 5084, 66, 87, blue
qm31, 3381, 103, 16, 1024, 1676, 3604, 73, 81, blue
qm32, 236, 6806, 3707, 3926, 4481, 2500, 83, 68, red
qm33, 1317, 3044, 5501, 5567, 4143, 88, 52, 101, blue
qm34, 7462, 503, 5811, 175, 353, 771, 59, 52, red
qm35, 868, 5943, 1058, 1792, 2337, 3618, 76, 77, blue
qm36, 2265, 51, 191, 245, 3146, 103, 63, 94, blue
qm37, 1923, 1690, 1676, 2791, 2771, 7719, 102, 58, red
qm38, 3667, 236, 3542, 16, 5567, 772, 73, 77, blue
qm39, 7885, 3624, 503, 3707, 1218, 5348, 52, 97, blue
qm4, 2337, 1923, 3624, 1317, 250, 6806, 66, 56, red
qm40, 6806, 217, 4381, 836, 3604, 771, 55, 86, blue
qm41, 449, 2830, 3555, 4481, 5951, 88, 74, 83, blue
qm42, 4143, 250, 5084, 5811, 7480, 365, 63, 73, blue
qm43, 7462, 2502, 190, 7673, 7651, 2500, 68, 70, blue
qm44, 1918, 1781, 175, 225, 3381, 1317, 97, 80, red
qm45, 3044, 1024, 6401, 125, 3926, 353, 74, 75, blue
qm46, 5501, 5951, 103, 4253, 771, 7885, 63, 64, blue
qm47, 3542, 1676, 836, 1218, 2337, 4143, 88, 82, red
qm48, 2502, 7673, 51, 1923, 3604, 250, 77, 91, blue
qm49, 3667, 1317, 5811, 3146, 5943, 1690, 85, 82, red
qm5, 103, 1918, 225, 236, 3926, 836, 110, 77, red
qm50, 3555, 1792, 3624, 1918, 16, 3044, 73, 93, blue
qm51, 772, 217, 7651, 3618, 191, 449, 74, 58, red
qm52, 2500, 2771, 175, 3926, 2830, 5348, 74, 71, red
qm53, 6806, 6401, 1781, 1058, 7480, 5501, 67, 53, red
qm54, 88, 868, 4253, 236, 225, 125, 80, 104, blue
qm55, 7719, 2265, 353, 3707, 2791, 3381, 52, 101, blue
qm56, 1024, 245, 503, 5084, 190, 5567, 80, 75, red
qm57, 365, 4381, 1918, 7462, 4481, 3542, 93, 85, red
qm58, 1792, 103, 2502, 175, 6806, 5811, 82, 79, red
qm59, 5501, 1690, 236, 250, 1218, 217, 80, 73, red
qm6, 2502, 4253, 2791, 5348, 7480, 5943, 49, 59, blue
qm60, 3146, 191, 4253, 3555, 1058, 3381, 80, 69, red
qm61, 7651, 16, 7719, 771, 2337, 5084, 63, 76, blue
qm62, 5951, 125, 4143, 3707, 1923, 4381, 85, 92, blue
qm63, 868, 4481, 1676, 353, 51, 190, 84, 66, red
qm64, 3667, 3618, 5567, 5348, 7673, 6401, 73, 70, red
qm65, 1317, 88, 7480, 2265, 503, 3926, 77, 76, red
qm66, 5943, 365, 772, 2771, 836, 3044, 52, 97, blue
qm67, 2500, 7885, 2791, 1781, 449, 3604, 65, 63, red
qm68, 1024, 7462, 225, 3624, 2830, 245, 82, 71, red
qm69, 7673, 5567, 1218, 5084, 1792, 3381, 77, 55, red
qm7, 5567, 5811, 4481, 217, 7885, 2771, 66, 60, red
qm70, 175, 7651, 236, 6401, 3146, 1923, 73, 76, blue
qm71, 190, 4253, 1918, 2771, 51, 3707, 101, 106, blue
qm72, 3044, 365, 5951, 6806, 2265, 3618, 72, 48, red
qm73, 7480, 2830, 217, 103, 4381, 2337, 63, 84, blue
qm74, 3555, 7885, 1676, 245, 1317, 7462, 86, 62, red
qm75, 5943, 771, 2500, 3542, 88, 1024, 54, 117, blue
qm76, 16, 5348, 4143, 225, 1690, 1058, 74, 101, blue
qm77, 449, 2502, 3926, 353, 3667, 5501, 75, 71, red
qm78, 7719, 836, 1781, 125, 5811, 3624, 64, 40, red
qm79, 503, 2791, 4481, 250, 772, 191, 84, 66, red
qm8, 2830, 1058, 365, 771, 3707, 190, 57, 83, blue
qm80, 3604, 175, 2830, 868, 5567, 2265, 65, 67, blue
qm81, 7673, 190, 16, 7885, 88, 6806, 77, 75, red
qm82, 225, 6401, 3707, 217, 3542, 5084, 113, 101, red
qm83, 1690, 7462, 3618, 1024, 51, 836, 73, 79, blue
qm84, 250, 1792, 4381, 772, 7719, 3926, 60, 52, red
qm85, 2771, 125, 1218, 1058, 103, 1317, 89, 72, red
qm86, 4143, 3555, 771, 2791, 1781, 3667, 79, 84, blue
qm87, 5951, 503, 2337, 3381, 2502, 236, 78, 75, red
qm88, 4481, 353, 7651, 3624, 5943, 3604, 78, 63, red
qm89, 3146, 5811, 2500, 4253, 3044, 1676, 78, 79, blue
qm9, 3146, 1218, 3542, 7719, 7462, 449, 103, 58, red
qm90, 5348, 449, 1918, 365, 245, 868, 71, 78, blue
qm91, 7480, 2771, 1923, 191, 5501, 225, 63, 84, blue
qm92, 51, 3926, 175, 16, 5951, 1218, 100, 92, red
qm93, 88, 3707, 250, 7651, 103, 7462, 87, 63, red
qm94, 353, 5084, 3618, 3542, 4253, 1317, 57, 72, blue
qm95, 1058, 3604, 2791, 2830, 5811, 236, 120, 95, red
qm96, 6401, 3624, 449, 4143, 190, 3381, 47, 71, blue
qm97, 7719, 3044, 2502, 7885, 836, 191, 60, 62, blue
qm98, 2337, 245, 2265, 4381, 2500, 3667, 89, 81, red
qm99, 5501, 1781, 3146, 1792, 4481, 5348, 74, 87, blue
sf1m1, 1676, 771, 2791, 1690, 2337, 3542, 99, 103, blue
sf1m2, 1676, 5951, 2791, 1690, 2337, 3542, 105, 60, red
sf1m3, 1676, 5951, 2791, 1690, 2337, 3542, 88, 88, blue
sf2m1, 3707, 4481, 217, 225, 503, 125, 102, 101, red
sf2m2, 3707, 4481, 217, 225, 4143, 125, 95, 81, red
